name,postal_code,stars,review_count,is_open
CBD Store AZ,85012,4.5,13,1
Bashas',85028,3,23,1
Valley Verde Community Garden Center and Desert Gift Shop,85050,5,41,1
WaBa Grill,85032,3,78,1
Pinky's Cafe,85022,3.5,8,0
The Prime Chinese Restaurant,85013,4,170,1
Chipotle Mexican Grill,85016,3,34,1
Mr Mesquite Taqueria,85054,4,263,1
Ringside Sports Grill,85015,3.5,32,1
Safeway Food & Drug,85022,2.5,11,1
Subway Restaurants,85015,2.5,9,1
Yummies Yogurt,85044,3.5,44,1
Walgreens,85042,1.5,7,1
Brooklyn Mike's subs,85008,4.5,58,1
Second Line Creole Caribbean Cuisine,85040,4,6,0
Town Talk II,85015,4,78,0
Flo's Shanghai Cafe,85034,2.5,10,0
Sprouts Farmers Market,85021,3.5,76,1
Cafe Chiwas,85006,4.5,3,0
Bliss Rebar,85004,4,597,1
Veranda Bistro,85020,4,18,1
Sapna Café,85007,3.5,46,0
Filiberto's Mexican Food,85031,3.5,18,1
Maxim Restaurant,85015,4,191,0
Salad and Go,85024,4,,1
Jimmy Jack's Drive-In,85009,3.5,23,1
Denny's,85051,2.5,67,1
Circle K,85032,3.5,7,1
Blast & Brew,85054,5,16,1
Moira Sushi Bar & Kitchen,85004,3.5,437,1
Classic Crust Pizza,85022,4,168,1
Little Caesars Pizza,85283,,17,1
The Lobby Grill,85044,2.5,72,1
JJ's Grill,85037,3,61,0
Sweet & Sassy Cakes,,2.5,5,1
El Castillo Chino Chinese and Mexican Buffet,85040,4,5,1
Federal Pizza,85012,4.5,989,1
Wendy's,85053,2.5,18,1
ampm,85008,1.5,3,1
Red Rim Bistro,85008,3.5,6,1
"Royal Palms Resort and Spa, in the Unbound Collection by Hyatt",85018,4,313,1
Zoes Kitchen,85016,3.5,210,1
Dairy Queen Grill & Chill,85042,2.5,30,1
Jb's,85015,3,4,0
PT PHO Express,85043,3.5,41,1
Baja Fresh Mexican Grill,85016,4,59,1
Popeyes Louisiana Kitchen,85015,2,41,1
Burger King,85335,1.5,24,1
Eden's Grill Inn,85032,4.5,353,1
Del Taco,85053,2.5,22,1
Edelweiss Biergarten,85032,4,281,1
Subway Restaurants,85006,2.5,14,1
Coppers Sports Grill,85032,3.5,3,0
Verdura,85014,4.5,230,1
Street Coffee,85006,4.5,113,1
El Super,85016,3,22,1
Monroe's Hot Chicken,85003,4,228,1
McDonald's,85033,2,19,1
La Tortotota,85032,3.5,14,0
Spinato's Pizzeria,85044,4,490,1
Pete's Fish & Chips,85040,3.5,46,1
Savor Flavor Asia,85044,3.5,277,1
Yogurtlicious,85041,2.5,3,0
First Cup Ethiopian Cafe,85015,4.5,4,1
La Hawaiiana,85031,3.5,16,1
Rochelli's Pizza House,85024,4,27,0
JC Sushi & chinese,85053,3.5,218,1
QuikTrip,85043,4,6,1
Dunkin',85015,3,42,1
First Watch,85012,3.5,118,1
Panda Express,85034,2.5,32,1
Morning Glory Cafe,85042,4,,1
Black Canyon Brewing Supplies,85053,4.5,8,0
The Tamale Store,85032,4.5,302,1
GNC,85048,1.5,6,1
Jersey Mike's Subs,85016,4,26,1
Rott n’ Grapes Uptown,85012,4.5,182,1
Carniceria La Hereford,85020,4.5,6,1
Club Annexus,85004,2.5,3,1
27th Ave Bar n Grill,85009,3.5,41,1
Sun Valley Bakery,85017,4.5,7,0
Pita Jungle,85050,3.5,,1
O2 Sushi,85024,4.5,,1
Pei Wei,85022,2.5,198,1
Sparkletts Water,85017,,248,1
Saito's Japanese Steakhouse,85054,,14,0
Couscous Express,85006,,145,0
URBO,85003,4.5,10,1
Plaza Bonita,85085,3.5,214,1
In-N-Out Burger,85037,4,91,1
Brooklyns Best Bagel and Deli,85050,3.5,19,0
The Velvet Buttercream,85013,5,55,1
Walgreens,85016,2.5,21,1
Dunkin',85022,3.5,34,1
Peets Coffee Shop,85017,3,4,0
Dillon's On Top of Central,85020,2.5,57,0
Starbucks,85016,2.5,59,1
Khyber Halal,85016,4,319,1
Mercado Y Carniceria Sepulveda,85023,,10,1
George's Famous Gyros & Pasta,85027,4.5,218,1
Los Reyes De La Torta,85031,4,92,0
Fractured Prune,85003,4,66,0
Whataburger,85035,4,66,1
Little Caesars Pizza,85017,,3,1
Royal Pita,85051,4.5,13,0
Sonic Drive-In,85006,3,29,1
Tacos Sahuaro,85008,4.5,325,1
Subway Restaurants,85017,3.5,8,1
Baskin-Robbins,85032,2.5,30,1
Villa Fresh Italian Kitchen,85032,3.5,7,1
Maskadores Taco Shop,85021,4.5,94,1
Dream Dinners,85044,5,,1
El Mesquite Cocina Mexicana,85042,4,72,1
Starbucks,85032,4,20,1
Phoenix Oriental Market,85051,4,3,0
Robeks Smoothies,85016,4.5,12,0
Machete Azteca,85016,3.5,6,1
Deemos American Grill,85016,2,21,0
Go Go China,85032,3,82,1
Ike's Love & Sandwiches,85004,4,143,1
Mariscos el Dorado Sinaloa 2,85040,2,4,1
Samurai Sam's,85029,3,43,1
Two Hippies Beach House,85020,3.5,14,0
Starbucks,85041,2,68,1
McDonald's,85023,1.5,50,1
Tokyo Joe's,85016,3.5,177,1
Roses Catering,85023,3.5,,1
Smashburger,85018,2,43,1
Church's Chicken,85016,,20,1
Bento Box,85085,3.5,167,1
Chipotle Mexican Grill,85033,3,40,1
Charlie Mae’s Soul Food,85339,,39,1
Los Taquitos Arcadia,85016,4,100,1
Tacos La Lomita,85043,4,41,1
Del Taco,85012,,43,1
Firehouse Subs,85339,3,44,1
Petit Fromage,85013,4.5,,0
Budget Truck Rental,85016,1,4,1
May Garden Restaurant,85031,3.5,71,1
El Pollo Loco,85021,,42,1
Familia Loritos,85017,4,33,1
JT Gyros,85053,4,76,1
Burger King,85004,2.5,16,0
New North China,85022,,45,0
Five Guys,85042,3.5,29,1
Tacos De Juarez,85006,4,109,0
The Cafe,85016,4,3,1
Divinos,85053,3,36,1
Dragon Bowl,85024,4,228,1
Starbucks,85029,3,97,1
Italian Spoon,85014,4,114,1
Palms Restaurant and Market,85032,4,6,0
Brooklyn NYC Pizza,85004,2,48,1
Eastwind Sushi & Grill,85032,3,185,1
The Wok Express,85034,3.5,146,1
Mendy's Place,85027,3.5,20,1
In-N-Out Burger,85037,4,91,1
Albertsons,85050,3.5,49,1
Pho Loc,85021,3.5,11,0
Julioberto's,85029,2.5,,1
Silver Dragon Chinese Restaurant,85021,4,3,0
Bantu Bistro,85013,2.5,16,0
Las Nieves y Antojitos,85051,5,6,1
The Refuge Coffee & Wine,85034,5,163,1
Elsiner Tacos & More,85023,4.5,8,1
McDonald's,85016,2.5,17,1
Culichi Town Phoenix,85035,3,39,1
Burger Mania,85023,3.5,105,1
McDonald's,85018,3,20,0
Pita Jungle,85044,4,373,1
In Perfetto Gelateria,85004,5,35,1
Cheddatruck,85014,4,8,0
Hoppin' Jack's,85034,3,9,1
First Watch,85013,4,309,1
Persian King,85032,,8,0
Chipotle Mexican Grill,85048,3,29,1
La Grande Orange,85034,4,402,1
Pro Edge Cutlery,85018,5,6,1
Jersey Mike's Subs,85016,3.5,72,1
Dairy Queen Grill & Chill,85033,2,35,1
Taco Mich,85017,3,37,1
Dunkin',85024,1.5,80,1
Lennys Burger,85017,2.5,75,1
New China,85042,3,13,1
Christo's Ristorante,85014,4,231,1
Upper Crust Pizza Midtown,85016,3.5,78,0
ampm,85027,1.5,5,1
Bosa Donuts,85051,3.5,68,1
Nine 05,85004,3.5,42,0
Front Pourch Brewing,85085,5,32,1
Canton Wong #2,85015,2,7,0
Uncle Tony's Pizza,85021,4,100,1
Starbucks,85022,3,68,1
Chester's Chicken,85043,1.5,4,0
Taco Mex,85051,4,11,0
Fry's Food Stores,85042,2,3,1
The Yard,85014,3.5,617,1
Jack in the Box,85033,2,,1
Islands Restaurant,85032,3.5,47,0
Fry's Food Stores,85044,3.5,24,1
Wendy's,85054,,46,0
Safeway,85016,3.5,66,1
Extreme Pita,85054,4,28,0
Filiberto's Mexican Food,85053,3,20,1
McDonald's,85040,1.5,,1
Wy-Knot Cafe,85006,,195,0
Armando's Mexican Food,85018,3,27,0
Hookmeup Gourmet Sandwiches,85044,4.5,149,0
Manuel's Mexican Restaurant & Cantina - Bell Rd,85023,4,292,1
Star Wok,85035,4,66,1
Blimpie,85008,,28,0
La Salsita,85031,2.5,20,1
Cousins Subs,85024,2.5,,0
Baskin-Robbins,85032,2.5,30,1
Sonic Drive-In,85027,3,21,1
Luccicare,85032,4.5,82,1
Flo's Shanghai Cafe,85034,2.5,10,0
Murray and Sons Construction,85022,1,,0
Restaurant Progress,85013,4.5,194,1
TGI Friday's,85050,2.5,25,0
Phoenix Public Market,85004,4,58,0
Sheraton Grand at Wild Horse Pass,85226,3.5,253,1
Plaza Cafe & Grill,85012,4.5,,1
Vincent's On Camelback,85018,4,181,1
dos arboles Restaurant & Cantina,85051,4,10,1
Otakumen,85003,2.5,68,0
Phuong Dong,85021,4,45,0
International 88 Market,85051,2,7,1
Bar Bianco,85004,4.5,95,1
Emilio's Tacos & Hotdogs,85023,4.5,71,1
Ric's Smokehouse BBQ & Grill,85027,3,72,0
Applebee's Grill + Bar,85012,2,199,1
Taste Of Honduras,85021,4,15,1
Long Wong's Famous Wings,85017,2.5,21,1
Smokehouse Bar & Grill,85032,3.5,46,0
Hungry Howie's Pizza,85018,2.5,37,1
Basis New American,85022,4,,0
Dong-A,85017,3.5,18,0
NYPD Pizza,85003,3.5,191,1
El Conquistador,85022,3.5,56,0
Pita Jungle - Sky Harbor,85034,2.5,39,1
Nelson's Meat + Fish,85016,5,82,1
Mr Chao's Asia Bistro,85048,4,83,1
Circle K,85018,3.5,4,1
Smooth Brew,85006,4.5,219,1
Sano Brick Pizza,85042,3.5,19,0
Potbelly Sandwich Shop,85029,4,83,1
High & Rye,85054,3.5,145,0
AiNT NICKS TAVERN,85017,4,25,1
Café Zupas,85016,3.5,378,1
Anhelo Restaurant,85004,4.5,65,1
Panda Express,85028,2.5,27,1
Food City,85020,4,4,0
Chuy's Mesquite Broiler,85044,3,4,0
Edelweiss German Deli,85022,3.5,3,0
Taco Chelo,85004,4,370,1
McDonald's,85041,2,29,1
Wildflower - Crown,85014,4.5,73,1
Canton Wong #2,85015,2,7,0
Panda Garden,85044,4,159,1
Church's Chicken,85040,3.5,9,1
The Coffee Bean & Tea Leaf,85024,4,63,1
Mr Submarine,85016,4,25,0
Alfonso's Mexican Food,85027,4,62,0
Cold Stone Creamery,85032,3.5,37,1
Burger King,85023,2,12,1
Irie Jamaica Restaurant,85040,3.5,8,0
The Vintage Market,85016,4.5,3,0
Little Caesars Pizza,85051,2,18,1
The Great American Grill,85027,4.5,,1
The Human Bean,85029,4.5,7,1
Baskin-Robbins,85021,3,24,1
Papa John's Pizza,85051,2.5,15,1
Mandarin Super Buffet,85015,2.5,149,1
Lustre Rooftop Bar,85004,4,284,1
Santisi Brothers,85053,4,514,1
Maui Wowi Hawaiian Coffees and Smoothies,85018,3,7,0
Starbucks,85004,3,3,0
A & S Market,85015,3.5,3,1
Citizen Espresso Bar,85012,3.5,36,0
Fox Sports Grill,85034,2,24,1
Alfredo's Deli,85021,,6,0
Little Caesars Pizza,85043,1,6,1
El Rincon Sinaloense,85033,4,16,1
La Cocina Economica,85006,4,69,1
Total Wine & More,85050,4,113,1
Starbucks,85023,3.5,41,1
La Pasadita Hot Dogs,85303,4,54,1
Filiberto's Mexican Food,85031,3.5,5,1
Mamma Mia Brick Oven Pizza & Pasta,85018,4,202,0
Cafe Chenar,85022,4.5,74,1
Buffalo Browns Wings and Things,85008,3.5,15,0
Matador Restaurant,85004,3,59,0
Fry's & Fry's Marketplace,85029,3,9,1
La Grande Orange,85018,4,939,1
Corner Store,85022,2,4,0
The Wok Express,85034,3.5,146,1
Chipotle Mexican Grill,85016,3,145,1
Carl's Jr,85033,1.5,20,1
Water'n Ice,85015,3.5,5,1
Dream Dinners,85044,5,,1
Buffalo Wild Wings,85085,2.5,315,1
El Rincon Sinaloense,85033,4,16,1
The Original Phoenix Greek Festival,85016,3.5,16,1
Dunkin',85037,2,86,1
Roliberto's Mexican Food,85027,4,45,1
Alzohour Market,85051,4,49,1
Asadero Toro,85007,4,117,1
Town & Country Farmers Market,85016,2.5,9,0
Urban Wok,85004,1,7,1
Walgreens,85042,3,8,1
Carl’s Jr.,85016,2,38,1
Birria Queen,85032,3.5,12,1
Kneaders Bakery & Cafe,85018,3.5,96,1
Souper Salad,85032,2.5,5,0
Pizza Patron,85015,3.5,6,1
Phoenix Coqui,85013,5,,1
Mateo's,85013,3.5,3,0
Vape Shop AZ,85015,5,9,0
The Shuka Shak,85014,4,9,0
Sprouts,85253,4,15,1
Panda Express,85017,2.5,5,1
Baja Fresh Mexican Grill Mexican Grill,85044,1.5,7,0
Wrights at The Arizona Biltmore,85016,4,139,1
Eribertos Mexican Food,85013,3.5,85,1
El Horseshoe Restaurant,85009,3.5,11,1
Brix Kitchen & Cocktails,85008,3,6,1
Corny Masa,85005,4.5,8,0
Breakroom Bar & Grill,85008,4,87,1
The Roasted Shallot,85003,4.5,6,0
Starbucks,85016,3,122,1
Port of Subs,85053,3.5,44,1
Elie's Deli,85018,4.5,,0
Gadzooks Enchiladas and Soup,85014,4,,1
El Taco Santo,85048,4.5,11,1
La Casa Del Mariachi,85008,3,4,0
Valley Bar,85004,4,,1
Sonny's Steakhouse,85032,2.5,10,0
Water Plus Ice,85020,3.5,3,1
Mel's Diner,85007,3.5,125,1
Stingray Sushi,85016,3,443,0
Wildflower,85034,4.5,269,1
Wild Thaiger,85004,4,721,1
Bama Bbq 4 Ever Catering,85045,4,5,1
Filiberto's Mexican Food,85041,2.5,32,1
Chen & Wok,85014,3.5,172,1
Federico's Mexican Food,85339,3,42,1
Goodcents Deli Fresh Subs,85032,3.5,21,0
Thai Chili,85016,3.5,35,1
A Slice of Bella,85044,3.5,9,0
Pozoleria Mexican Food,85008,4.5,65,1
Cave Creek Chevron,85032,1.5,10,1
A Slice of Bella,85044,3.5,9,0
Joyride Taco House,85012,4,1192,1
Bashas Supermarket,85016,1.5,3,1
stonegrill,85054,3.5,89,1
Walgreens,85015,3,16,1
QuikTrip,85021,3,,1
Da Burger Shack,85016,4.5,22,0
Jack in the Box,85053,2,18,1
Fox News Sky Box,85034,2.5,,1
Pittsburgh Pizza Company,85022,4,28,0
Los Tio’s,85017,5,5,1
Bakery By Chef Tom,85301,4,13,0
Roy's Restaurant,85054,3.5,369,1
Circle K,85032,1.5,5,1
Safeway,85048,3.5,17,1
Taco Bell,85028,2.5,36,1
Dad's Catering Services,85020,3.5,17,1
Carniceria La Hereford,85020,4.5,6,1
Sam's Cafe,85016,3.5,26,0
One Stop Nutrition,85032,3,16,0
Food City,85006,3,17,1
Starbucks,85254,3.5,76,1
Wholesale Organic Chicken Feed Buyers' Club,85018,4,4,1
Jacquee's Espresso,85004,4,,0
Meritage - An Urban Tavern,85054,3.5,137,1
Super Oscars,85018,3.5,36,1
Fuego CityScape,85004,3.5,141,0
Scott's Generations Restaurant & Delicatessen,85020,3.5,219,0
Starbucks,85027,2.5,71,1
Pho Binh Minh,85017,4,50,1
Lone Star Steakhouse & Saloon,85021,3,5,0
Taqueria La Condesa,85034,5,3,1
Sherrye's Kitchen,85041,5,4,1
Las Jicaras Mexican Grill,85021,4.5,11,0
The Vault Wine Storage,85018,5,4,1
Clarendon Kitchen + Bar C4,85013,3,28,0
Scratch,85004,3,42,0
Fry's,85028,3.5,19,1
Circle K,85053,2,8,1
Cafe Eden,85034,,3,1
Greektown,85020,4.5,375,1
Caffio Espresso Bar,85001,5,6,1
BJ's Restaurant & Brewhouse,85050,3.5,412,1
Mu Shu Asian Grill,85015,4,202,1
Giordano's,85032,3.5,182,0
WinCo Foods,85023,3.5,123,1
Procaffeinate Coffee Bar,85054,4.5,61,1
Karl's Quality Bakery,85020,4.5,133,1
Rainbow Donuts,85029,4.5,60,1
Cafe Cultivate,85034,5,27,1
Havana Cafe,85018,3.5,178,0
Los Mexican Friends,85034,4.5,17,1
Tacos y Mariscos El Sinaloa,85006,5,20,1
Fry's Food Store,85018,2.5,70,1
Souper Salad,85032,2.5,5,0
Dulceria Importaciones Valentinas,85009,4,7,1
Ahwatukee Eats Food Truck Festival,85044,4,3,1
The Grove Cafe,85041,3.5,27,0
Subway Restaurants,85016,3.5,12,1
Nixon's,85016,3.5,5,0
Sylvia's Modern Mexican Restaurant,85013,2.5,210,0
Westwood Tap & Grill,85021,3,8,1
Yoshi's,85022,4,36,1
Oven + Vine,85003,4.5,298,1
Domino's Pizza,85035,2,12,1
101 Bistro,85003,3.5,7,0
Il Primo Pizza & Wings,85032,3,51,1
Jamba Juice,85022,3,52,1
The Willow House,85003,2.5,12,0
Perfetto Day Cafe,85053,4.5,3,1
Mariscos Chihuahua,85015,4,33,1
Desert Mission Food Bank,85020,4,7,1
Wingstop,85007,3,33,1
Best of Europe Meats & Deli,85032,4.5,89,1
The Grind,85018,3.5,404,0
Subway Restaurants,85043,2.5,9,1
Salsita's Mexican Food,85006,3,15,1
Jack in the Box,85014,2,27,1
Earth Plant Based Cuisine,85007,4,69,1
Arrivederci,85048,3.5,207,1
New Asian Kitchen,85053,4,,1
Pho Binh Minh,85017,4,50,1
Phoenix Wine Parties,85018,5,,1
Breadcrafters Bakery & Cafe,85032,4,254,1
Edelweiss Biergarten,85032,4,281,1
Samurai Sam's,85015,2.5,18,1
Sonic Drive-In,85037,2,30,1
The Original Phoenix Greek Festival,85016,3.5,16,1
The Barbecue Company Grill and Cafe,85040,3.5,,1
Wrights at The Arizona Biltmore,85016,4,139,1
Streets of New York,85032,3,49,1
Cave Creek Chevron,85032,1.5,10,1
Safeway,85016,3,11,1
Edible Arrangements,85022,3,15,1
MATCH Restaurant & Lounge,85003,3.5,360,1
Whole Foods Market,85028,3,148,1
Safeway Food & Drug,85022,3,36,1
Two Hippies Pizzeria and More,85019,4,11,0
Connolly's Sports Grill,85085,3.5,150,1
Circle K,85018,,13,1
Da Vang Restaurant,85015,4,686,1
Desert Swirl Frozen Yogurt,85053,,91,1
McGrath's Fish House,85054,2.5,10,0
McDonald's,85331,1.5,39,1
Starbucks,85310,2.5,14,1
Windsor,85012,4,1207,1
RiteWay Catering & Food Truck,85004,3.5,15,0
ASAP California Pizza Kitchen,85034,2.5,17,0
Premium Burger,85032,4,17,0
Pane Bianco - Central,85012,4,509,1
City Square Cafe,85012,4,14,0
Antojitos Y Neveria Chayo's,85009,3.5,12,1
Little Caesars Pizza,85048,2,3,0
Rustler's Rooste,85044,3,1238,1
Sushi Mishima Restaurant,85018,3,4,0
Burger King,85035,2,10,1
Ladera Taverna y Cocina,85020,4.5,472,1
Tortas el Rey,85008,4,71,1
Food City,85032,3,27,1
Port of Subs,85012,3.5,41,1
Cave Creek Cafe,85022,3.5,24,0
Verde,85004,4,53,0
George & Dragon II English Restaurant Pub,85040,2,,0
Long Wong's Famous Wings,85017,2.5,21,1
OM Indian Bistro,85027,2.5,134,1
Dunkin',85027,2.5,52,1
The Phoenix Marketplace,85033,2,4,1
Majerle's Sports Grill,85004,3.5,338,1
7-Eleven,85035,2,3,0
Mariachi Estrellas Del Pacífico,85001,4,5,1
Streets of New York,85020,3,,0
Chipotle Mexican Grill,85012,,34,1
Walmart,85051,2.5,41,1
Pho 602,85017,4,195,1
King Solomon's Pizza,85014,4.5,15,0
Paradise Bakery and Cafe,85022,2.5,91,0
Hammered Hog BBQ Hall & Saloon,85032,3.5,121,0
Tropical Sno,85044,5,5,1
The Halal Guys,85044,3.5,101,1
Church's Chicken,85040,2,,1
ZK Grill,85048,4,127,1
Rosita's Place,85006,4,405,1
Joe's Diner,85016,4,148,0
Lo-lo's Chicken & Waffles,85034,2.5,120,1
Guamuchilito Mexican Grill,85017,3.5,11,0
Quiznos,85034,2,6,0
My Tea,85012,4,139,1
Twenty Highland Tavern,85016,3.5,73,1
Filiberto's Mexican Food,85043,2.5,14,1
Copper Door,85004,3.5,6,0
Nathans Famous Hotdogs,85034,2,12,1
Cheuvront,85004,3.5,178,0
Dunkin',85016,2.5,62,1
Most Wanted Taco Shop,85020,4.5,573,0
Wingstop,85015,3,57,1
Walmart Neighborhood Market,85020,2.5,11,1
Senor Pizza,85042,4,41,0
D'licious Dishes,85013,4.5,45,0
Domino's Pizza,85018,2.5,44,1
Jesters Mexican Grill,85027,4,17,0
Goodcents Deli Fresh Subs,85023,3.5,75,1
Dairy Queen Grill & Chill,85044,3.5,37,1
Dunkin',85018,2.5,41,1
Desert Springs Brewing Company,85034,2,15,1
Burger King,85040,,14,1
Raspados Imperial,85031,4,24,1
Hungry Street Grille,85048,4.5,3,1
QuikTrip,85053,4,8,1
Best Wok Chinese Restaurant,85035,3,35,1
Frites Street,85003,4.5,26,1
Iron Chef,85028,4,456,1
Pizza Hut,85033,,17,1
Five Guys,85003,3,123,1
Pacifica Ceviche,85033,,4,0
101 Asian Buffet,85027,3,32,0
Olympic Flame,85018,4,13,0
Abc Cake Decorating Supplies,85016,4.5,90,1
Burger King,85028,2,22,1
Fusilli's,85012,2.5,11,0
Subway,85018,3.5,8,1
Olive Branch Market,85051,3,5,1
Reathrey Sekong,85014,4.5,513,1
Fry's,85042,3,30,1
Hi-Health Supermart - Deer Valley Center,85023,4.5,9,0
El Chino Restaurante Y Cantina,85004,3,42,0
La Villa DF,85051,4.5,35,1
Taqueria Guadalajara,85017,4,12,0
Los Taquitos,85034,1.5,235,1
The Vitamin Shoppe,85022,4,8,1
Mariscos El Dorado Sin,85040,2,12,1
Lakeside Hideout Cafe,85029,4.5,,0
Little Shanghai,85018,3.5,,0
Boston Market,85032,2.5,32,0
Kabab King,85041,4,129,1
Oak-Wood Fire Pizza,85028,,4,1
Kabob Palace,85051,4,10,0
Modern Margarita,85054,3.5,446,1
Le Ragazze,85048,4,23,0
Casey Jones Grill,85032,4,182,1
Boston Market,85044,3,36,0
Smart & Final,85016,3,,1
Pat's Pizza Plus,85020,4,168,1
The Dipping Well,85041,5,,0
Mojo Yogurt,85016,4,104,0
Big Cuz's Catering,85022,2,20,1
Mariscos Ensenada 4,85033,2.5,12,1
Julioberto's,85020,3,26,1
Taco Bell,85051,3,,1
Snoh Ice Shavery,85014,4.5,706,1
McDonald's,85017,3,20,1
IHOP,85042,2.5,95,1
Walgreens,85023,2.5,13,1
Baby Kay's Cajun Kitchen,85016,,144,0
Wy-Knot Cafe,85006,,195,0
Papa John's Pizza,85013,2,40,1
King Coffee Roastery,85050,4.5,77,1
Basis New American,85022,4,,0
Krispy Kreme Doughnuts,85004,1.5,10,0
CBD Store AZ,85012,4.5,13,1
F1 Food And Fuel,85020,5,3,1
Ono Hawaiian BBQ,85015,3.5,63,1
Luna Pizza,85073,4.5,7,0
Luv A Sub,85034,3,22,1
Mr. Cafe,85032,3,4,1
Cheuvront,85004,3.5,178,0
Cafe At Desert Ridge,85050,4,42,0
The Liberty Kitchen,85013,3.5,41,1
Francisco's Mexican Food,85048,3.5,40,1
Glai Baan,85016,4.5,456,1
Doughbird,85018,4,651,1
Belvedere's,85008,3.5,23,0
Menchie's Frozen Yogurt,85029,,61,1
The Best Ever Subs and More,85050,4.5,13,0
Earth Plant Based Cuisine,85007,4,69,1
International House of Food,85007,4.5,319,1
Shenanigans Bar & Grill,85023,3.5,24,0
El Bravo Mexican Food,85020,4,181,1
Native Grill & Wings,85021,3,199,1
Macayo's,85004,3,5,0
Mi Tienda Latina,85006,4.5,10,1
Wendy's,85027,1.5,50,1
Taqueria El Compadre,85035,4,20,1
Carl's Jr,85033,1.5,20,1
Taco Bell,85016,,25,1
Tommy V's Osteria & Pizzeria,85018,3.5,63,0
Julioberto's Fresh Mexican Food,85016,3,53,1
MAD Greens - Central Ave & Camelback,85012,4,91,1
In-N-Out Burger,85032,4,188,1
Los Jarritos Restaurant,85008,3,17,0
Sardella's Pizza & Wings,85027,3.5,135,1
Mad Chef Gastropub,85048,3,31,0
A Touch of Yogurt,85004,4,23,0
Orange Leaf Frozen Yogurt,85032,4,5,0
Matt's Big Breakfast,85034,3.5,502,1
Zinburger,85034,4,230,1
Binkley's Restaurant,85016,5,79,1
ReadyRefresh by Nestlé®,85029,1.5,,1
La Pasadita Hot Dogs,85019,4,12,1
Mojo Yogurt,85054,,68,0
Habbouz Tunisian Cuisine,85051,4.5,,0
Taco Del Mar,85018,2.5,,0
Mercado Y Carniceria Sepulved A,85023,3.5,10,0
Oaxaca Restaurante Y Cantina,85007,3,32,0
Shako Mako Grill,85021,3.5,127,1
Fox's Cabaret,85019,3.5,4,0
El Burrito Grande,85009,4.5,7,0
How Do You Roll? Phoenix,85003,3.5,168,0
Carl’s Jr.,85016,2,38,1
B-51 Chevron,85043,4,7,1
Terrace Cafe At Hyatt Regency Phoenix,85004,1.5,3,1
Blue Agave Mexican Cantina,85054,3.5,436,1
My Greek Corner,85027,3,5,0
McDonald's,85310,2.5,24,1
Noodles A GoGo,85010,2.5,8,1
Garcia's Mexican Restaurants,85029,3,155,1
First Watch,85018,4,241,1
McDonald's,85043,1.5,14,1
Famous Ray's Pizza,85022,4,251,1
Baskin Robbins,85033,2.5,19,1
Big Guy's Sports Grill,85032,3.5,48,0
Barrio Cafe Gran Reserva,85007,4.5,143,1
Oasis Raspados,85015,4.5,3,1
Audi Quattro Lounge,85004,4,4,1
Moira Sushi Bar & Kitchen,85004,3.5,437,1
Canton Wong #8,85042,3.5,63,1
Firehouse Subs,85054,3.5,23,0
Walgreens,85304,3.5,10,1
Tammie Coe Cakes,85004,4,167,1
Firehouse Subs,85054,3.5,23,0
Rally's,85013,2,68,1
Clamatos La Cruda,85008,3,46,1
China Star Super Buffet,85073,3,7,0
The White Chocolate Grill,85054,4,1113,1
McDonald's,85020,1.5,35,1
Panda Express,85020,2.5,46,1
Angry Crab Shack,85085,4,215,1
zpizza - Phoenix Midtown,85013,3.5,278,1
Domino's Pizza,85018,2.5,44,1
Kitchen 56,85018,3.5,380,0
Pho Bar Central,85016,3.5,83,1
Seoul BBQ & Sushi,85029,4.5,382,1
Pork on a Fork,85016,4,229,0
Best of Philly,85004,4,130,1
The Rocket,85034,4.5,28,1
Friday's Front Row Sports Grill,85004,3,149,1
Johnny Rockets,85027,2.5,58,1
Southwest Restaurant Supply,85008,3.5,8,1
Canam Realty Group,85048,2.5,5,1
Murder Ink Productions,85016,4,4,0
Pour Masters Bar Service,85027,4.5,19,1
Burger King,85085,1.5,13,1
P.F. Chang's,85085,3,266,1
Shorty's Sandwich Shop,85040,4,66,1
Schlotzskys Deli,85004,2.5,13,0
Indian Express,85027,3.5,11,0
Mariscos Ensenada 4,85033,2.5,12,1
Starbucks,85022,2,4,1
IHOP,85016,,56,1
Fry's Food Stores of Arizona,85042,3.5,10,1
Middle Eastern Bakery & Deli,85014,4.5,383,1
Turris Taco Shop,85015,4,,0
Cookin On Wood,85040,4.5,29,1
El Entronke Mexican Food,85042,4,14,0
Ranch Burger,85016,2,3,0
China Buffet,85043,4,3,0
Pizza Hut,85022,2.5,,0
Watertyme Westridge,85033,5,4,1
Filiberto's Mexican Food,85034,2.5,10,1
PHX Eats Cafe,85008,3,41,1
Angels Trumpet Ale House,85004,4,1168,1
Fanatic's Bar & Grill,85032,4,3,1
Growler USA,85054,4,165,1
The Coffee Studio,85016,4,9,0
4 Sons Food Stores,85003,2,7,1
China Buffet,85043,4,3,0
Cardinal Pizza,85020,3.5,5,0
Starbucks,85051,1.5,,1
The Cafe,85016,4,3,1
Yogis Grill,85016,3.5,108,1
Hong Kong Express,85008,3.5,16,0
Spinato's Pizzeria,85022,4.5,545,1
Tortas Hipocampo,85051,3.5,3,0
Pizza Hut,85032,2,41,1
Fuzziwig's,85032,2,4,1
Macayo's Mexican Food,85033,3,117,1
